"step","_step","_step__MIN","_step__MAX","all_time_value","all_time_value__MIN","all_time_value__MAX"
"119","238","238","238","0.4459628462791443","0.4459628462791443","0.4459628462791443"
"120","240","240","240","0.5209810733795166","0.5209810733795166","0.5209810733795166"
"121","242","242","242","0.44767045974731445","0.44767045974731445","0.44767045974731445"
"122","244","244","244","0.43671417236328125","0.43671417236328125","0.43671417236328125"
"123","246","246","246","0.41504907608032227","0.41504907608032227","0.41504907608032227"
"124","248","248","248","0.4348492920398712","0.4348492920398712","0.4348492920398712"
"125","250","250","250","0.38668984174728394","0.38668984174728394","0.38668984174728394"
"126","252","252","252","0.4250185787677765","0.4250185787677765","0.4250185787677765"
"127","254","254","254","0.42578211426734924","0.42578211426734924","0.42578211426734924"
"128","256","256","256","0.4074687063694","0.4074687063694","0.4074687063694"
"129","258","258","258","0.4074450433254242","0.4074450433254242","0.4074450433254242"
"130","260","260","260","0.4274090528488159","0.4274090528488159","0.4274090528488159"
"131","262","262","262","0.395977646112442","0.395977646112442","0.395977646112442"
"132","264","264","264","0.41739341616630554","0.41739341616630554","0.41739341616630554"
"133","266","266","266","0.38729602098464966","0.38729602098464966","0.38729602098464966"
"134","268","268","268","0.41485702991485596","0.41485702991485596","0.41485702991485596"
"135","270","270","270","0.42687734961509705","0.42687734961509705","0.42687734961509705"
"136","272","272","272","0.41644471883773804","0.41644471883773804","0.41644471883773804"
"137","274","274","274","0.43513554334640503","0.43513554334640503","0.43513554334640503"
"138","276","276","276","0.41398924589157104","0.41398924589157104","0.41398924589157104"
"139","278","278","278","0.44327425956726074","0.44327425956726074","0.44327425956726074"
"140","280","280","280","0.41631072759628296","0.41631072759628296","0.41631072759628296"
"141","282","282","282","0.3951508402824402","0.3951508402824402","0.3951508402824402"
"142","284","284","284","0.4385967254638672","0.4385967254638672","0.4385967254638672"
"143","286","286","286","0.4143667221069336","0.4143667221069336","0.4143667221069336"
"144","288","288","288","0.41293662786483765","0.41293662786483765","0.41293662786483765"
"145","290","290","290","0.43028226494789124","0.43028226494789124","0.43028226494789124"
"146","292","292","292","0.4800643026828766","0.4800643026828766","0.4800643026828766"
"147","294","294","294","0.488518625497818","0.488518625497818","0.488518625497818"
"148","296","296","296","0.43406060338020325","0.43406060338020325","0.43406060338020325"
"149","298","298","298","0.39533600211143494","0.39533600211143494","0.39533600211143494"
"150","300","300","300","0.40456393361091614","0.40456393361091614","0.40456393361091614"
"151","302","302","302","0.413437157869339","0.413437157869339","0.413437157869339"
"152","304","304","304","0.42225366830825806","0.42225366830825806","0.42225366830825806"
"153","306","306","306","0.4142112731933594","0.4142112731933594","0.4142112731933594"
"154","308","308","308","0.4128216803073883","0.4128216803073883","0.4128216803073883"
"155","310","310","310","0.4137939214706421","0.4137939214706421","0.4137939214706421"
"156","312","312","312","0.43208661675453186","0.43208661675453186","0.43208661675453186"
